ID,First author,Pub. year,Journal,Region,Start Year,End,Period,Season,Research type,Technique,Livestock,Livestock Sub,Collection Setting,Feed additives,Manure type,Treatment,GHG source,Field crop,CO2,CH4,N2O,NH3,Texture,Application time
241,Masse,2000,Water Research,Quebec,NA,NA,Single Year,NA,Lab,Modelling,Swine,"Growers, Finishers",Indoor,NA,Liquid,Digester,Storage,NA,F,T,F,F,NA,NA
242,Rochette,2000,Canadian Journal of Soil Science,Quebec,1997,1997,Single Year,Growing,Field,Soil chamber,Swine,"Sows, Growers",Indoor,NA,Liquid,NA,Field,Annual crop,F,T,F,F,Med,Spring
243,Rochette,2000,Soil Science Society of America Journal,Quebec,1997,1998,Single Year,Year-Round,Field,Soil chamber,Swine,"Sows, Growers",Indoor,NA,Liquid,NA,Field,Annual crop,T,F,F,F,Med,Spring
244,Rochette,2000,Soil Science Society of America Journal,Quebec,1997,1998,Single Year,Year-Round,Field,Soil chamber,Swine,"Sows, Growers",Indoor,NA,Liquid,NA,Field,Annual crop,F,F,T,F,Med,Spring
245,Tenuta,2000,Communications in Soil Science and Plant Analysis,Ontario,1993,1993,Single Year,Growing,Lab,Incubation,"Dairy Cattle, Beef Cattle",Whole herd,Indoor,NA,"Liquid, Solid",NA,Field,Annual crop,T,F,T,F,Med,NA
246,Brown,2000,Journal of Environmental Quality,Ontario,1998,1998,Single Year,Non-Growing,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Solid,Stockpile,Storage,NA,F,F,T,F,NA,NA
247,Lemke,1999,Canadian Journal of Soil Science,Alberta,1993,1995,Multiple Years,Growing,Field,Soil chamber,Sheep,Whole herd,Indoor,NA,Solid,NA,Field,Annual crop,F,F,T,F,"Med, Fine",Spring
248,Kaharabata,1998,Global Biogeochemical Cycles,Quebec,1995,1996,Single Year,Year-Round,Farm,Animal chamber,"Dairy Cattle, Swine",Whole herd,Indoor,NA,Liquid,Agitation,Storage,NA,F,T,F,F,NA,NA
249,Gregorich,1998,Journal of Environmental Quality,Ontario,1992,1992,Single Year,Growing,Field,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Solid,Stockpile,Field,Annual crop,T,F,F,F,Med,Spring
250,Wagner-Riddle,1998,Nutrient Cycling in Agroecosystems,Ontario,1993,1996,Multiple Years,Non-Growing,Field,Micrometeorology,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,Annual crop,F,F,T,F,Med,"Spring, Fall"
251,Chang,1998,Soil Science Society of America Journal,Alberta,1993,1994,Single Year,Year-Round,Field,Soil chamber,Beef Cattle,Whole herd,Outdoor,NA,Solid,Stockpile,Field,Annual crop,F,F,T,F,Fine,Fall
252,Rochette,1998,Canadian Journal of Soil Science,Ontario,1994,1994,Single Year,Growing,Field,Soil chamber,Dairy Cattle,Cows,Indoor,NA,Solid,"Compost, Stockpile",Field,Annual crop,T,F,F,F,Med,Spring
253,Wagner-Riddle,1997,Canadian Journal of Soil Science,Ontario,1992,1995,Multiple Years,Year-Round,Field,Micrometeorology,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,Perennial crop,F,F,T,F,Med,"Spring, Fall"
254,Lessard,1997,Canadian Journal of Soil Science,Ontario,1993,1994,Multiple Years,Growing,Field,Soil chamber,Dairy Cattle,"Cows, Heifers, Calves",Indoor,NA,Solid,Stockpile,Field,Annual crop,F,T,F,F,Med,Spring
255,Loro,1997,Journal of Environmental Quality,Ontario,1991,1993,Multiple Years,Growing,Lab,Incubation,"Dairy Cattle, Beef Cattle",Whole herd,Indoor,NA,"Liquid, Solid",NA,Field,Annual crop,T,F,T,F,Med,NA
256,Lessard,1996,Journal of Environmental Quality,Ontario,1993,1993,Single Year,Growing,Field,Soil chamber,Dairy Cattle,"Cows, Heifers, Calves",Indoor,NA,Solid,Stockpile,Field,Annual crop,F,F,T,F,Med,Spring
257,Masse,1996,Canadian Journal of Civil Engineering,Quebec,NA,NA,Single Year,NA,Lab,Incubation,Swine,"Growers, Finishers",Indoor,NA,Liquid,Digester,Storage,NA,F,T,F,F,NA,NA
258,Kinsman,1995,Journal of Dairy Science,Ontario,1993,1993,Single Year,Growing,Farm,Animal chamber,Dairy Cattle,Cows,Indoor,NA,"Liquid, Solid",NA,"Enteric, Storage",NA,T,T,F,F,NA,NA
259,Paul,1993,Canadian Journal of Soil Science,Ontario,NA,NA,Single Year,Growing,Lab,Incubation,"Dairy Cattle, Beef Cattle",Whole herd,Indoor,NA,"Liquid, Solid",NA,Field,Annual crop,F,F,T,F,Med,NA
260,Boadi,2002,Canadian Journal of Animal Science,Manitoba,1998,1998,Single Year,Non-Growing,Farm,Collar,"Dairy Cattle, Beef Cattle",Heifers,Indoor,Diet,"Liquid, Solid",NA,Enteric,NA,F,T,F,F,NA,NA
261,Bhatt,2022,The International Journal of Life Cycle Assessment,Ontario,2021,2022,Single Year,Year-Round,LCA,Mixed,Sheep,Whole herd,Indoor,NA,Solid,Stockpile,"Enteric, Field, Storage",Perennial crop,F,T,T,F,NA,NA
262,Abbasi,2022,Journal of Environmental Quality,Ontario,2012,2015,Multiple Years,Growing,Field,Soil chamber,Beef Cattle,Whole herd,Indoor,NA,Solid,NA,Field,Annual crop,T,F,T,F,Med,Spring
263,Hung,2022,Science of the Total Environment,National,1981,2019,Multiple Years,Year-Round,Farm,Modelling,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Storage,NA,F,T,F,F,NA,NA
264,Weber,2022,Soil systems,Alberta,2017,2017,Single Year,Growing,Lab,Incubation,Beef Cattle,Whole herd,Indoor,"Antibiotics, Diet",Solid,NA,Field,NA,T,T,T,F,"Med, Fine",NA
265,VanderZaag,2022,Bioresource Technology Reports,British Columbia,2019,2019,Single Year,Year-Round,Farm,Micrometeorology,Dairy Cattle,Cows,Indoor,NA,Liquid,"Digester, Solid-Liquid Separation",Storage,NA,F,T,F,F,NA,NA
266,Abalos,2016,Global Change Biology,Ontario,2011,2014,Multiple Years,Year-Round,Field,Micrometeorology,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,"Annual crop, Perennial crop",F,F,T,F,Med,"Spring, Fall"
