ID,First author,Pub. year,Journal,Region,Start Year,End,Period,Season,Research type,Technique,Livestock,Livestock Sub,Collection Setting,Feed additives,Manure type,Treatment,GHG source,Field crop,CO2,CH4,N2O,NH3,Texture,Application time
242,Rochette,2000,Canadian Journal of Soil Science,Quebec,1997,1997,Single Year,Growing,Field,Soil chamber,Swine,"Growers, Sows",Indoor,NA,Liquid,NA,Field,Annual crop,F,T,F,F,Med,Spring
243,Rochette,2000,Soil Science Society of America Journal,Quebec,1997,1998,Single Year,Year-Round,Field,Soil chamber,Swine,"Growers, Sows",Indoor,NA,Liquid,NA,Field,Annual crop,T,F,F,F,Med,Spring
244,Rochette,2000,Soil Science Society of America Journal,Quebec,1997,1998,Single Year,Year-Round,Field,Soil chamber,Swine,"Growers, Sows",Indoor,NA,Liquid,NA,Field,Annual crop,F,F,T,F,Med,Spring
245,Tenuta,2000,Communications in Soil Science and Plant Analysis,Ontario,1993,1993,Single Year,Growing,Lab,Incubation,"Beef Cattle, Dairy Cattle",Whole herd,Indoor,NA,"Liquid, Solid",NA,Field,Annual crop,T,F,T,F,Med,NA
246,Brown,2000,Journal of Environmental Quality,Ontario,1998,1998,Single Year,Non-Growing,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Solid,Stockpile,Storage,NA,F,F,T,F,NA,NA
247,Lemke,1999,Canadian Journal of Soil Science,Alberta,1993,1995,Multiple Years,Growing,Field,Soil chamber,Sheep,Whole herd,Indoor,NA,Solid,NA,Field,Annual crop,F,F,T,F,"Med, Fine",Spring
248,Kaharabata,1998,Global Biogeochemical Cycles,Quebec,1995,1996,Single Year,Year-Round,Farm,Animal chamber,"Dairy Cattle, Swine",Whole herd,Indoor,NA,Liquid,Agitation,Storage,NA,F,T,F,F,NA,NA
249,Gregorich,1998,Journal of Environmental Quality,Ontario,1992,1992,Single Year,Growing,Field,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Solid,Stockpile,Field,Annual crop,T,F,F,F,Med,Spring
250,Wagner-Riddle,1998,Nutrient Cycling in Agroecosystems,Ontario,1993,1996,Multiple Years,Non-Growing,Field,Micrometeorology,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,Annual crop,F,F,T,F,Med,"Spring, Fall"
251,Chang,1998,Soil Science Society of America Journal,Alberta,1993,1994,Single Year,Year-Round,Field,Soil chamber,Beef Cattle,Whole herd,Outdoor,NA,Solid,Stockpile,Field,Annual crop,F,F,T,F,Fine,Fall
252,Rochette,1998,Canadian Journal of Soil Science,Ontario,1994,1994,Single Year,Growing,Field,Soil chamber,Dairy Cattle,Cows,Indoor,NA,Solid,"Compost, Stockpile",Field,Annual crop,T,F,F,F,Med,Spring
253,Wagner-Riddle,1997,Canadian Journal of Soil Science,Ontario,1992,1995,Multiple Years,Year-Round,Field,Micrometeorology,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,Perennial crop,F,F,T,F,Med,"Spring, Fall"
254,Lessard,1997,Canadian Journal of Soil Science,Ontario,1993,1994,Multiple Years,Growing,Field,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Solid,Stockpile,Field,Annual crop,F,T,F,F,Med,Spring
255,Loro,1997,Journal of Environmental Quality,Ontario,1991,1993,Multiple Years,Growing,Lab,Incubation,"Beef Cattle, Dairy Cattle",Whole herd,Indoor,NA,"Liquid, Solid",NA,Field,Annual crop,T,F,T,F,Med,NA
256,Lessard,1996,Journal of Environmental Quality,Ontario,1993,1993,Single Year,Growing,Field,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Solid,Stockpile,Field,Annual crop,F,F,T,F,Med,Spring
257,Massé,1996,Canadian Journal of Civil Engineering,Quebec,NA,NA,Single Year,NA,Lab,Incubation,Swine,"Finishers, Growers",Indoor,NA,Liquid,Digester,Storage,NA,F,T,F,F,NA,NA
258,Kinsman,1995,Journal of Dairy Science,Ontario,1993,1993,Single Year,Growing,Farm,Animal chamber,Dairy Cattle,Cows,Indoor,NA,"Liquid, Solid",NA,"Enteric, Storage",NA,T,T,F,F,NA,NA
259,Paul,1993,Canadian Journal of Soil Science,Ontario,NA,NA,Single Year,Growing,Lab,Incubation,"Beef Cattle, Dairy Cattle",Whole herd,Indoor,NA,"Liquid, Solid",NA,Field,Annual crop,F,F,T,F,Med,NA
260,Boadi,2002,Canadian Journal of Animal Science,Manitoba,1998,1998,Single Year,Non-Growing,Farm,Collar,"Beef Cattle, Dairy Cattle",Heifers,Indoor,Diet,"Liquid, Solid",NA,Enteric,NA,F,T,F,F,NA,NA
261,Bhatt,2022,The International Journal of Life Cycle Assessment,Ontario,2021,2022,Single Year,Year-Round,LCA,Mixed,Sheep,Whole herd,Indoor,NA,Solid,Stockpile,"Enteric, Field, Storage",Perennial crop,F,T,T,F,NA,NA
262,Abbasi,2022,Journal of Environmental Quality,Ontario,2012,2015,Multiple Years,Growing,Field,Soil chamber,Beef Cattle,Whole herd,Indoor,NA,Solid,NA,Field,Annual crop,T,F,T,F,Med,Spring
263,Hung,2022,Science of the Total Environment,National,1981,2019,Multiple Years,Year-Round,Farm,Modelling,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Storage,NA,F,T,F,F,NA,NA
264,Weber,2022,Soil systems,Alberta,2017,2017,Single Year,Growing,Lab,Incubation,Beef Cattle,Whole herd,Indoor,"Antibiotics, Diet",Solid,NA,Field,NA,T,T,T,F,"Med, Fine",NA
265,VanderZaag,2022,Bioresource Technology Reports,British Columbia,2019,2019,Single Year,Year-Round,Farm,Micrometeorology,Dairy Cattle,Cows,Indoor,NA,Liquid,"Digester, Solid-Liquid Separation",Storage,NA,F,T,F,F,NA,NA
266,Abalos,2016,Global Change Biology,Ontario,2011,2014,Multiple Years,Year-Round,Field,Micrometeorology,Dairy Cattle,Whole herd,Indoor,NA,Liquid,NA,Field,"Annual crop, Perennial crop",F,F,T,F,Med,"Spring, Fall"
267,Huang,2020,Environmental Science and Pollution Research,Saskatchewan,2015,2016,Single Year,Year-Round,Farm,Micrometeorology,Poultry,"Broilers, Layers",Indoor,NA,Solid,NA,"Enteric, Storage",NA,T,F,F,T,NA,NA
268,Gordon,1994,Biology and Fertility of Soils,Quebec,1985,1987,Multiple Years,Year-Round,Field,Micrometeorology,Swine,Whole herd,Indoor,NA,Liquid,Solid-Liquid Separation ,Field,NA,F,F,F,T,NA,Fall
269,Pedersen ,2021,Biosystems Engineering ,British Columbia,2019,2019,Single Year,Growing,Field,Soil chamber ,Dairy Cattle,Cows,Indoor,NA,Liquid,Solid-Liquid Separation ,Field ,Grass,F,F,F,T,NA,Spring
270,Devillers,2020,Livestock Science,Manitoba,NA,NA,Single Year,Year-Round,Pilot,Animal chamber,Swine,Sows,Indoor,NA,"Liquid, Solid",NA,Enteric,NA,F,F,F,T,NA,NA
271,Kohn,2021,Journal of Environmental Quality,Alberta,2010,2019,Multiple Years,Year-Round,LCA,Mixed,Dairy Cattle,Whole herd,Outdoor,NA,Liquid,NA,Field ,NA,F,F,F,T,"Fine, Med",NA
272,Mejia-Franco,2020,Water,Ontario,2017,2017,Single Year,Growing,Farm,Soil chamber,Beef Cattle,Whole herd,Outdoor,NA,"Liquid, Solid",Stockpile,Storage,NA,F,F,F,F,NA,NA
273,Bourke,2019,Hydrology and Earth System Sciences,Alberta,2010,2015,Multiple Years,Year-Round,LCA,Mixed,"Beef Cattle, Dairy Cattle",Whole herd,Outdoor,NA,Liquid,NA,"Field, Storage ",NA,F,F,F,T,NA,NA
274,Hung,2021,Canadian Journal of Soil Science,Quebec,NA,NA,Single Year,NA,Pilot,Soil chamber,"Dairy Cattle, Poultry, Swine",Whole herd,Outdoor,NA,"Liquid, Solid",Biochar,Storage,NA,F,F,F,T,NA,NA
275,Balde,2019,Atmosphere,Ontario,2017,2017,Single Year,Growing,Field,Micrometeorology,Dairy Cattle,Whole herd,Outdoor,NA,Solid,Compost,"Field, Storage ",NA,F,F,F,T,NA,Spring
276,Valdes,2019,WIT Transactions on Ecology and the Environment,Saskatchewan,NA,NA,Single Year,NA,Lab,Incubation,Swine,Whole herd,Indoor,NA,Liquid,"Agitation, Cover",Storage,NA,F,F,F,T,NA,NA
277,Palacios,2018,"10th International Livestock Environment Symposium, ILES 2018",Quebec,2017,2017,Single Year,Year-Round,LCA,Animal chamber,Swine,Whole herd,Indoor,NA,Liquid,NA,Enteric,NA,F,F,F,T,NA,NA
278,Evans,2018,Agricultural and Forest Meteorology,Ontario,2013,2014,Single Year,Year-Round,Field,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,"Liquid, Solid","Digester, Solid-Liquid Separation",Field,NA,F,F,F,T,NA,NA
279,Balde,2018,Agricultural and Forest Meteorology,Ontario,2013,2016,Multiple Years,Year-Round,Farm,Micrometeorology,Dairy Cattle,Whole herd,"Indoor, Outdoor",NA,"Liquid, Solid","Digester, Solid-Liquid Separation",Storage,NA,F,F,F,T,NA,NA
280,Legesse,2018,Canadian Journal of Animal Science,National,1981,2011,Multiple Years,Year-Round,LCA,Mixed,"Beef Cattle, Dairy Cattle",Whole herd,NA,NA,"Liquid, Solid",Stockpile,"Enteric, Field",NA,F,F,F,T,NA,NA
281,Fillingham,2017,Membranes,Ontario,NA,NA,Single Year,NA,Pilot,Soil chamber,Dairy Cattle,Whole herd,Indoor,NA,Liquid,Digester,Storage,NA,F,F,F,T,NA,NA
282,Dutta,2016,Nutrient Cycling in Agroecosystems,Quebec,2006,2010,Multiple Years,Growing,Field,"Modelling, Soil chamber",Swine,Whole herd,Indoor,NA,Liquid,NA,Field,NA,F,F,F,T,NA,NA
283,Van Andel,2017,Canadian Journal of Soil Science,Ontario,2010,2010,Single Year,Growing,Field,Soil chamber,Poultry,Broilers,Indoor,NA,Liquid,NA,Field,Grass,F,F,F,T,NA,Spring
284,Congreves,2016,"Agriculture, Ecosystems and Environment",Quebec,1999,2005,Multiple Years,NA,Field,"Modelling, Soil chamber",Swine,Whole herd,Indoor,NA,Liquid,NA,Field,NA,F,F,F,T,Fine,NA 
285,Thilakarathna,2015,"Agronomy, Soils and Environmental Quality ",Ontario,2003,2004,Multiple Years,Growing,Field,Soil chamber,Swine,Whole herd,Indoor,NA,Liquid,NA,Field,Annual crop,F,F,F,T,"Fine, Med",Fall
286,Alvarado,2015,International Journal of Environmental Science and Technology,Saskatchewan,2007,2011,Multiple Years,NA,"Lab, Pilot",Incubation,Swine,Growers,Indoor,NA,Liquid,Additives ,"Enteric, Storage",NA,F,F,F,T,NA,NA
287,Miola,2015,Soil Science Society of America Journal,Quebec,2012,2012,Single Year,Growing,Field,Soil chamber,Poultry,"Broilers, Layers",Indoor,NA,Solid,Stockpile,Field,NA,F,F,F,T,Med,NA
288,Miola,2014,Journal of Environmental Quality,Quebec,2012,2012,Single Year,Growing,Field,Soil chamber,Poultry,"Broilers, Layers",Indoor,NA,Solid,Stockpile,Field,NA,F,F,F,T,Med,NA
289,Girard,2014,"American Society of Agricultural and Biological Engineers Annual International Meeting 2014, ASABE 2014",Quebec,2013,NA,Single Year,Growing,Pilot,Soil chamber,Swine,Whole herd ,Outdoor,NA,"Liquid, Solid",NA,Field,NA,F,F,F,T,NA,NA
290,Kearney,2013,ACS Sustainable Chemistry and Engineering,Ontario,NA,NA,NA,NA,LCA,Mixed,Poultry,Whole herd,Indoor,NA,Liquid,NA,Enteric,NA,F,F,F,T,NA,NA
291,Predicala,2012,"ASABE - 9th International Livestock Environment Symposium 2012, ILES 2012",Saskatchewan,NA,NA,Single Year,NA,Pilot,Soil chamber,Swine,Growers,Indoor,NA,Liquid,"Additives, Agitation","Enteric, Storage",NA,F,F,F,T,NA,NA
292,King,2012,Applied and Environmental Soil Science,Quebec,2010,NA,NA,NA,"Field, Pilot",Soil chamber,Swine,Whole herd,Indoor,NA,Liquid,Digester,"Field, Storage ",NA,F,F,F,T,"Fine, Med, Coarse",NA
293,Ippersiel,2012,Journal of Environmental Management,Quebec,NA,NA,NA,NA,Lab,"Incubation, Soil chamber",Swine,Whole herd,Indoor,NA,Liquid,Solid-liquid separation ,Storage,NA,F,F,F,T,Na,NA
294,Sheppard,2011,Canadian Journal of Animal Science,National,NA,NA,NA,Year-Round,LCA,"Mixed, Modelling",Dairy Cattle,"Calves, Cows, Heifers","Indoor, Outdoor",NA,"Liquid, Solid",NA,"Enteric, Field, Storage ",NA,F,F,F,T,NA,NA
295,Bittman,2011,Journal of Environmental Quality,British Columbia,2003,2009,Multiple Years,Year-Round,Field,Incubation ,Dairy Cattle,Whole herd,"Indoor, Outdoor",NA,"Liquid, Solid",NA,Field,"Grass, Perennial crop",F,F,F,T,Med,"Spring, Fall"
296,Fournel,2012,Biosystems Engineering,Quebec,2010,2010,Single Year,Growing,Lab,"Animal chamber, Incubation ",Poultry,Layers,Indoor,NA,Liquid,NA,Storage,NA,F,F,F,T,NA,NA
297,Cortus,2009,Canadian Biosystems Engineering / Le Genie des biosystems au Canada,National,NA,NA,Single Year,NA,Lab,"Incubation, Modelling",Swine,Whole herd,Indoor,Diet,Liquid,NA,Storage,NA,F,F,F,T,NA,NA
298,Chantigny,2009,Nutrient Cycling in Agroecosystems,Quebec,2004,2005,Multiple Years,Growing,Field,Incubation,Swine,Whole herd,Indoor,Diet,Liquid,"Digester, Solid-Liquid Separation",Field,Annual crop,F,F,F,T,Fine,Spring
299,Hamelin,2010,Biosystems Engineering,Quebec,NA,NA,NA,NA,Lab,"Animal chamber, Incubation",Swine,"Finishers, Growers",Indoor,NA,Liquid,NA,"Enteric, Storage",NA,F,F,F,T,NA,NA
300,Sheppard,2010,Canadian Journal of Animal Science,National,NA,NA,NA,NA,LCA,"Mixed, Modelling",Swine,Whole herd,Indoor,NA,Liquid,NA,Enteric,NA,F,F,F,T,NA,NA
301,Jayasundara,2011,Canadian Journal of Soil Science,Ontario,2005,2007,Multiple Years,Year-Round,Field,Incubation ,Swine,Whole herd,Indoor,Diet,Liquid,Agitation,Field,Annual crop,F,F,F,T,"Med, Fine","Spring, Fall"
302,Sheppard,2011,Canadian Journal of Animal Science,National,2005,2005,Single Year,Year-Round,LCA,Mixed,Dairy cattle,Whole herd,"Indoor, Outdoor",NA,"Liquid, Solid",NA,"Enteric, Storage",NA,F,F,F,T,NA,NA
303,Mondor,2008,Bioresource Technology,Quebec,NA,NA,NA,NA,Lab,Incubation,Swine,"Finishers, Growers",Indoor,NA,Liquid,Solid-liquid separation,Storage,NA,F,F,F,T,NA,NA
304,Sheppard,2009,Canadian Journal of Animal Science,National,NA,NA,NA,NA,LCA,Modelling,Poultry,"Broilers, Layers, Turkeys",Indoor,NA,"Liquid, Solid",NA,"Enteric, Field, Storage",NA,F,F,F,T,NA,NA
305,Rochette,2008,Canadian Journal of Soil Science,Quebec,2004,2005,Single Year,Year-Round,Field,Soil chamber,Swine,Whole herd,Indoor,NA,Liquid,NA,Field,"Grass, Perennial crop",F,F,F,T,Fine,NA
306,Smith,2009,Journal of Environmental Management,"Nova Scotia, Prince Edward Island, Quebec",1999,2005,Multiple Years,Growing,LCA,Modelling,Swine,Whole herd,Indoor,NA,Liquid,NA,Field,NA,F,F,F,T,Med,NA
307,McGinn,2008,Canadian Journal of Soil Science,Alberta,NA,NA,Single Year,Growing,Farm,Micrometeorology,Dairy Cattle,"Cows, Heifers",Outdoor,NA,"Liquid, Solid",NA,Storage,NA,F,F,F,T,NA,NA
308,Lau,2008,Canadian Biosystems Engineering / Le Genie des biosystems au Canada,British Columbia,2005,2006,Single Year,Growing,Field,Soil chamber,Poultry,"Breeders, Broilers, Layers, Turkeys",Indoor,NA,"Liquid, Solid",NA,Field,NA,F,F,F,T,Med,"Spring, Fall"
309,Smith,2009,Canadian Journal of Soil Science,"Prince Edward Island, Nova Scotia, Quebec",1999,2006,Multiple Years,Growing,Field,Soil chamber,Swine,Whole herd,Indoor,NA,"Liquid, Solid",NA,Field,NA,F,F,F,T,Med,NA
310,Conn,2007,Journal of Environmental Quality,Ontario,2001,2003,Multiple Years,Year-Round,Lab,Incubation,Swine,Whole herd,Indoor,NA,Liquid,NA,Storage,NA,F,F,F,T,NA,"Spring, Fall"
311,McGinn,2007,Canadian Journal of Soil Science,Alberta,1996,2000,Multiple Years,Growing,Field,Micrometeorology,Beef Cattle,Whole herd,Outdoor,NA,Solid,Stockpile,"Field, Storage ",NA,F,F,F,T,NA,NA
312,Zeng,2006,Water Science and Technology,Alberta,NA,NA,NA,NA,Lab,Incubation,"Beef cattle, Dairy Cattle",Whole herd,NA,NA,Liquid,Digester,Storage,NA,F,F,F,T,NA,NA
313,Zhang,2007,Journal of Chemical Technology and Biotechnology,British Columbia,NA,NA,Single Year,NA,Lab,"Incubation, Soil chamber",Poultry,Broilers,Indoor,NA,Solid,Compost,Storage,NA,F,F,F,T,NA,NA
314,Predicala,2007,Transactions of the ASABE,Saskatchewan,NA,NA,Single Year,NA,Farm,Animal chamber,Swine,"Finishers, Growers",Indoor,NA,Liquid,NA,Enteric,NA,F,F,F,T,NA,NA
315,Chantigny,2004,Soil Science Society of America Journal,Quebec,2000,2000,Single Year,Growing,Field,Soil chamber,Swine,Whole herd,Indoor,NA,Liquid,Digester,Field,NA,F,F,F,T,Med,NA
316,Berthiaume,2005,Biosystems Engineering,Quebec,NA,NA,NA,NA,Lab,"Incubation, Modelling",Swine,Whole herd,Indoor,NA,Liquid,NA,Storage,NA,F,F,F,T,NA,NA
317,Laridi,2005,Environmental Technology,Quebec,NA,NA,NA,NA,"Lab, Pilot",Incubation,Swine,Whole herd,Indoor,NA,Liquid,Solid-liquid separation,Storage,NA,F,F,F,F,NA,NA
318,Bittman,2005,Agronomy Journal,British Columbia,2000,2001,Single Year,Growing,Field,"Micrometeorology, Soil chamber",Dairy Cattle,Whole herd,Outdoor,NA,Solid,NA,Field,NA,F,F,F,T,"Fine, Med","Spring, Fall"
319,Rochette,2001,Canadian Journal of Soil Science,Quebec,1999,1999,Single Year,Growing,Field,Micrometeorology,Swine,Whole herd,Indoor,NA,Liquid,NA,Field,Annual crop,F,F,F,T,"Fine, Med",Fall
320,McGinn,2003,Journal of Environmental Quality,Alberta,1999,1999,Single Year,Growing,Field,Micrometeorology,Beef Cattle,Whole herd,Outdoor,NA,"Liquid, Solid",NA,"Enteric, Field, Storage ",NA,F,F,F,T,NA,NA
321,Kithome,1999,Journal of Environmental Quality,British Columbia,NA,NA,Single Year,NA,Lab,"Incubation, Soil chamber",Poultry,Layers,Indoor,NA,Solid,"Additives, Compost",Storage,NA,F,F,F,T,NA,NA
322,Paul,1998,Journal of Environmental Quality,British Columbia,1994,1995,Single Year,Growing,Lab,Incubation,Dairy Cattle,Whole herd,"Indoor, Outdoor",Diet,"Liquid, Solid",NA,Storage,NA,F,F,F,T,NA,NA
323,Subhair,1999,Journal of Environmental Quality,Quebec,NA,NA,Single Year,NA,Lab,Incubation,Swine,Whole herd,Indoor,NA,Liquid,NA,Storage,NA,F,F,F,T,NA,NA
324,Hengnirun,1999,Journal of Environmental Quality,Quebec,NA,NA,Single Year,NA,LCA,"Incubation, Mixed, Modelling",Dairy Cattle,Whole herd,Outdoor,NA,"Liquid, Solid",NA,Field ,NA,F,F,F,T,Fine,Spring
325,Zebarth,1999,Canadian Journal of Soil Science,British Columbia,1992,1993,Single Year,Year-Round,Lab,Soil chamber,Poultry,Turkeys,Indoor,NA,Solid,Stockpile,Storage,NA,F,F,F,T,Coarse,NA
326,Termeer,1993,Bioresouce Technology,Nova Scotia,NA,NA,Single Year,Year-Round,"Lab, pilot","Incubation, Soil chamber","Dairy Cattle, Poultry",Whole herd,"Indoor, Outdoor",NA,"Liquid, Solid",Additives,"Field, Storage ",NA,F,F,F,T,Coarse,NA
327,O'Halloran,1993,Soil Science Society of America Journal,Quebec,NA,NA,Single Year,NA,Lab,Incubation,Swine,Whole herd,Indoor,NA,Liquid,NA,Storage,NA,F,F,F,T,NA,NA
328,Al-Kanani ,1992,Journal of Environmental Quality,Quebec,NA,NA,Single Year,NA,Lab,"Incubation, Soil chamber",Swine,Whole herd,Indoor,NA,Liquid,NA,"Field, Storage",Annual crop,F,F,F,T,NA,NA
329,Mahato,2023,"Resources, Conservation and Recycling Advances",Quebec,NA,NA,Single Year,NA,Lab,Incubation,Poultry,Whole herd,Indoor,NA,Solid,Digester,Storage,NA,T,T,F,T,NA,NA
330,Lupwayi,2023,Applied Soil Ecology,Alberta,2017,2018,Multiple Years,Growing,Field,Incubation,Beef Cattle,Finishers,NA,"3-NOP, Antibiotics",Solid,"Compost, Stockpile",Field,Perennial crop,T,F,F,F,NA,Spring
331,Lemke,2023,"Agriculture, Ecosystems and Environment","Alberta, Saskatchewan",2009,2012,Multiple Years,Growing,Field,Soil chamber,Beef Cattle,Whole herd,NA,NA,"Liquid, Solid",Solid-liquid separation,Field,Perennial crop,F,F,T,F,NA,Spring
332,Yang,2023,Journal of Environmental Management,National,NA,NA,Multiple Years,Year-Round,Lab,Modelling,NA,NA,"Indoor, Outdoor",NA,NA,NA,"Enteric, Field, Storage","Annual crop, Perennial crop",F,F,T,T,NA,NA
333,Goyette,2023,Science of the Total Environment,"Quebec, Ontario",1901,2011,Multiple Years,NA,LCA,Modelling,"Beef Cattle, Poultry, Sheep, Swine",Whole herd,"Indoor, Outdoor",NA,NA,NA,"Enteric, Field","Annual crop, Perennial crop",F,F,F,F,NA,NA
334,St-Germain,2023,Journal of the ASABE,Quebec,2019,2019,Single Year,Year-Round,Lab,Animal chamber,Poultry,Layers,Indoor,NA,Solid,"Acidification, Additives, Biochar","Enteric, Storage",NA,F,F,F,T,NA,NA
336,Hung,2023,Journal of Environmental Quality,"Alberta, Ontario",1990,2022,Multiple Years,Year-Round,LCA,Modelling,Dairy Cattle,Whole herd,NA,NA,Solid,NA,Storage,NA,F,T,F,F,NA,"Spring, Fall"
339,Feng,2023,Frontiers in Animal Science,British Columbia,NA,NA,Single Year,Year-Round,Lab,Modelling,Dairy Cattle,Whole herd,Indoor,NA,Liquid,"Digester, Nutrient recovery, Solid-Liquid Separation","Enteric, Storage",NA,F,T,T,T,NA,NA
340,Adghim,2023,Waste Management,Ontario,NA,NA,Multiple Years,NA,Lab,Incubation,Poultry,Layers,Outdoor,NA,Solid,Stockpile,Storage,NA,F,T,F,F,NA,NA
341,Lin,2023,Nutrient Cycling in Agroecosystems,Alberta,2015,2017,Multiple Years,Growing,Field,Soil chamber,"Dairy Cattle, Swine",Whole herd,Indoor,NA,Liquid,Additives,Field,Annual crop,F,F,T,F,Fine,"Spring, Fall"
342,Hangs,2023,Bioenergy Research,Saskatchewan,NA,NA,Single Year,NA,Lab,Incubation,"Beef Cattle, Swine",Whole herd,"Indoor, Outdoor",NA,"Liquid, Solid","Biochar, Compost, Stockpile",Field,NA,T,T,T,F,"Fine, Med",Spring
343,Weber,2023,Land,Alberta,2019,2020,Single Year,Growing,Field,Soil chamber,Beef Cattle,Steers,NA,Biochar,Solid,"Biochar, Stockpile",Field,Annual crop,F,T,T,F,Coarse,Fall
